88.224,497.896,11.9207,-11.9207
88.231,479.788,12.7174,-12.7174
88.278,543.494,24.6659,-24.6659
88.464,560.759,9.58794,-9.58794
88.464,595.603,11.1859,-11.1859
88.48,568.84,9.59137,-9.59137
88.481,583.041,11.1902,-11.1902
89.217,952.904,16.2501,-16.2501
89.222,961.054,17.877,-17.877
89.226,955.613,14.628,-14.628
89.236,966.311,17.0698,-17.0698
89.283,1100.6,45.5668,-45.5668
89.455,1146.13,14.7023,-14.7023
89.455,1148.42,14.7023,-14.7023
89.47,1165.3,13.8901,-13.8901
89.472,1163.15,14.7079,-14.7079
90.208,2118.07,21.5917,-21.5917
90.212,2162.19,22.4242,-22.4242
90.217,2135.18,33.2246,-33.2246
90.217,2205.2,29.9022,-29.9022
90.226,2223.58,33.2312,-33.2312
90.227,2173.78,19.9391,-19.9391
90.228,2160.79,21.6012,-21.6012
90.238,2217.19,30.7469,-30.7469
90.24,2235.15,72.3,-72.3
90.284,2324.57,66.5469,-66.5469
91.034,3517.02,68.4903,-68.4903
91.207,3540.1,16.1261,-16.1261
91.208,3483.05,13.5801,-13.5801
91.215,3522.12,13.5822,-13.5822
91.217,3530.68,16.9785,-16.9785
91.222,3504.57,15.2823,-15.2823
91.223,3488.01,15.2826,-15.2826
91.223,3521.54,15.2826,-15.2826
91.23,3514.35,15.285,-15.285
91.238,3533.22,12.7397,-12.7397
91.239,3455.58,10.192,-10.192
91.254,3506.32,11.8945,-11.8945
91.254,3507.51,11.8945,-11.8945
91.28,3494.95,6.12061,-6.12061
91.289,3539.51,71.4211,-71.4211
91.294,3490.49,5.35716,-5.35716
91.529,3243.08,60.6822,-60.6822
91.952,2609.17,25.8753,-25.8753
91.953,2554.03,21.5632,-21.5632
91.967,2532.8,25.0208,-25.0208
91.969,2536.96,22.4334,-22.4334
92.207,2140.88,24.2829,-24.2829
92.209,2114.61,30.3549,-30.3549
92.215,2077.76,26.0219,-26.0219
92.226,2150.43,26.028,-26.028
92.282,2052.25,63.4109,-63.4109
92.562,1522.97,148.557,-148.557
92.952,1237.94,14.0986,-14.0986
92.953,1197.88,13.2177,-13.2177
92.966,1222.09,13.2213,-13.2213
92.968,1193.67,14.9848,-14.9848
93.208,1019.13,15.9474,-15.9474
93.209,1010.82,14.1758,-14.1758
93.22,996.79,14.1791,-14.1791
93.228,999.441,13.2951,-13.2951
93.286,940.592,31.0602,-31.0602
93.701,760.801,9.84786,-9.84786
93.702,750.987,9.84807,-9.84807
93.716,751.549,9.85098,-9.85098
93.717,740.272,8.95563,-8.95563
94.202,540.997,8.14278,-8.14278
94.202,552.75,10.857,-10.857
94.219,543.833,8.96025,-8.96025
94.223,555.945,9.95667,-9.95667
94.277,519.567,21.7483,-21.7483
95.036,399.9,41.43,-41.43
